"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.081","7.119","7.119","7.081","-0.21%"
"Jan 30, 2020","7.096","7.103","7.103","7.096","-0.07%"
"Jan 29, 2020","7.101","7.110","7.118","7.101","0.08%"
"Jan 28, 2020","7.095","7.114","7.114","7.095","0.00%"
"Jan 27, 2020","7.095","7.107","7.107","7.087","-0.39%"
"Jan 24, 2020","7.123","7.134","7.141","7.107","-0.17%"
"Jan 23, 2020","7.135","7.165","7.180","7.135","0.08%"
"Jan 22, 2020","7.129","7.157","7.180","7.129","0.01%"
"Jan 21, 2020","7.128","7.180","7.196","7.128","-0.24%"
"Jan 20, 2020","7.145","7.196","7.196","7.145","-0.01%"
"Jan 17, 2020","7.146","7.200","7.200","7.146","-0.32%"
"Jan 16, 2020","7.169","7.185","7.192","7.169","0.00%"
"Jan 15, 2020","7.169","7.216","7.216","7.169","-0.33%"
"Jan 14, 2020","7.193","7.236","7.236","7.193","0.42%"
"Jan 13, 2020","7.163","7.150","7.169","7.150","0.24%"
"Jan 10, 2020","7.146","7.161","7.161","7.142","0.82%"
"Jan 09, 2020","7.088","7.123","7.145","7.088","-0.73%"
"Jan 08, 2020","7.140","7.127","7.140","7.127","-0.11%"
"Jan 07, 2020","7.148","7.146","7.148","7.135","0.10%"
"Jan 06, 2020","7.141","7.146","7.146","7.141","0.63%"
"Jan 03, 2020","7.096","7.096","7.096","7.096","0.10%"
"Jan 02, 2020","7.089","7.123","7.123","7.089","-0.21%"
"Jan 01, 2020","7.104","7.123","7.123","7.104","-0.24%"
