"Date","Price","Open","High","Low","Change %"
"Jan 30, 2020","5.120","5.110","5.150","5.110","0.39%"
"Jan 29, 2020","5.100","5.110","5.110","5.090","-0.20%"
"Jan 28, 2020","5.110","5.110","5.110","5.090","0.20%"
"Jan 27, 2020","5.100","5.110","5.130","5.090","-0.39%"
"Jan 24, 2020","5.120","5.120","5.120","5.090","0.00%"
"Jan 23, 2020","5.120","5.140","5.140","5.100","0.20%"
"Jan 22, 2020","5.110","5.070","5.130","5.070","0.20%"
"Jan 21, 2020","5.100","5.090","5.110","5.090","-0.20%"
"Jan 20, 2020","5.110","5.110","5.120","5.100","0.20%"
"Jan 17, 2020","5.100","5.120","5.130","5.100","-0.39%"
"Jan 16, 2020","5.120","5.150","5.150","5.110","0.39%"
"Jan 15, 2020","5.100","5.100","5.120","5.100","0.59%"
"Jan 14, 2020","5.070","5.070","5.080","5.060","0.40%"
"Jan 13, 2020","5.050","5.040","5.070","5.040","0.00%"
"Jan 10, 2020","5.050","5.050","5.070","5.020","0.00%"
"Jan 09, 2020","5.050","5.020","5.060","5.010","0.60%"
"Jan 08, 2020","5.020","5.020","5.040","5.020","0.20%"
"Jan 07, 2020","5.010","5.000","5.040","4.990","0.60%"
"Jan 06, 2020","4.980","4.980","5.020","4.970","-0.20%"
"Jan 03, 2020","4.990","4.970","5.030","4.970","0.40%"
"Jan 02, 2020","4.970","4.970","4.970","4.950","-1.39%"
"Jan 01, 2020","5.040","5.060","5.080","5.030","-0.20%"
