Symbol,Date,Expiry,Option Type,Strike Price,Close,Underlying Value
NIFTY,01-Jan-2020,02-Jan-2020,PE,13300,1000,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13350,1419,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13400,1430.4,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13450,1412.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13500,1387.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13550,1396.1,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13600,1423.45,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13650,1424.45,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13700,1447.2,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13750,1461.2,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,11800,0.6,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,11850,0.55,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,11900,0.7,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,11950,0.65,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12000,1.15,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12050,1.75,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12100,4.5,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12150,11.85,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12200,30.7,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12250,66.8,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12300,111.4,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12350,159.7,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12400,208.4,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12450,257.2,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12500,310.6,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12550,358.35,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12600,407.9,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12650,461,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12700,509.2,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12750,1142.05,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12800,1183.1,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12850,1224.7,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12900,1266.75,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,12950,1309.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13000,1352.25,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13050,1395.6,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13100,1439.35,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13150,1433.35,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13200,1331.6,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,13250,1376.15,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10100,0.1,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10150,0.05,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10200,0.25,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10250,0.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10300,42.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10350,47.3,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10400,52.75,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10450,58.65,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10500,65.1,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10550,72.1,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10600,79.6,12182.5
NIFTY,01-Jan-2020,02-Jan-2020,PE,10650,87.75,12182.5
