Date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,19Y,24Y,30Y
"Jan 30, 2020",5.120,5.240,5.435,5.671,6.212,6.358,6.401,6.605,6.817,6.844,6.854,6.599,7.000,6.917,7.095,7.001,7.084,6.999,7.103,7.081
"Jan 29, 2020",5.100,5.230,5.449,5.675,6.198,6.327,6.366,6.568,6.799,6.812,6.813,6.558,6.998,6.902,7.080,6.978,7.054,6.999,7.145,7.096
"Jan 28, 2020",5.110,5.220,5.433,5.678,6.216,6.339,6.372,6.567,6.818,6.813,6.815,6.568,6.974,6.889,7.078,6.990,7.097,7.120,7.145,7.101
"Jan 27, 2020",5.100,5.210,5.438,5.679,6.217,6.359,6.384,6.577,6.830,6.832,6.809,6.575,6.958,6.896,7.068,6.984,7.040,7.000,7.091,7.095
"Jan 24, 2020",5.120,5.200,5.443,5.673,6.211,6.340,6.372,6.552,6.832,6.796,6.784,6.551,6.934,6.883,7.040,6.952,7.024,6.995,7.120,7.095
"Jan 23, 2020",5.120,5.200,5.448,5.703,6.225,6.358,6.379,6.564,6.828,6.815,6.801,6.578,6.941,6.889,7.058,6.972,7.044,7.039,7.124,7.123
"Jan 22, 2020",5.110,5.200,5.431,5.742,6.245,6.379,6.399,6.578,6.846,6.834,6.824,6.596,6.955,6.893,7.077,6.993,7.062,7.108,7.131,7.135
"Jan 21, 2020",5.100,5.210,5.425,5.750,6.267,6.413,6.411,6.623,6.862,6.867,6.868,6.635,7.018,6.925,7.113,7.022,7.104,7.118,7.131,7.129
"Jan 20, 2020",5.110,5.200,5.646,5.759,6.264,6.414,6.404,6.614,6.856,6.867,6.858,6.633,7.015,6.904,7.088,7.014,7.100,6.996,7.131,7.128
"Jan 17, 2020",5.100,5.210,5.475,5.745,6.272,6.414,6.406,6.631,6.858,6.867,6.863,6.639,6.985,6.917,7.095,7.036,7.062,7.140,7.143,7.145
"Jan 16, 2020",5.120,5.200,5.479,5.747,6.269,6.401,6.389,6.624,6.857,6.872,6.848,6.622,7.029,6.930,7.096,7.026,7.100,7.128,7.155,7.146
"Jan 15, 2020",5.100,5.210,5.634,5.707,6.292,6.430,6.404,6.668,6.872,6.920,6.881,6.598,7.075,6.959,7.121,7.070,7.098,7.118,7.153,7.169
"Jan 14, 2020",5.070,5.200,5.424,5.708,6.303,6.445,6.428,6.687,6.893,6.933,6.895,6.623,7.094,6.976,7.135,7.097,7.145,7.143,7.138,7.169
"Jan 13, 2020",5.050,5.200,5.449,5.710,6.338,6.468,6.453,6.729,6.912,6.966,6.922,6.662,7.121,7.030,7.176,7.137,7.201,7.239,7.221,7.193
"Jan 10, 2020",5.050,5.200,5.422,5.689,6.295,6.432,6.413,6.655,6.864,6.893,6.851,6.592,7.050,6.972,7.095,7.062,7.104,7.167,7.186,7.163
"Jan 09, 2020",5.050,5.200,5.426,5.690,6.296,6.427,6.403,6.637,6.851,6.867,6.848,6.585,7.041,6.923,7.075,7.046,7.072,7.058,7.154,7.146
"Jan 08, 2020",5.020,5.200,5.439,5.693,6.272,6.367,6.344,6.569,6.802,6.822,6.792,6.524,7.006,6.883,7.015,6.968,7.018,7.068,7.107,7.088
"Jan 07, 2020",5.010,5.180,5.472,5.728,6.310,6.404,6.389,6.623,6.844,6.846,6.821,6.557,7.027,6.923,7.050,7.012,7.078,7.135,7.109,7.140
"Jan 06, 2020",4.980,5.200,5.476,5.743,6.300,6.410,6.415,6.618,6.836,6.839,6.823,6.550,6.976,6.914,7.038,7.002,7.067,6.999,7.092,7.148
"Jan 03, 2020",4.990,5.200,5.530,5.778,6.325,6.436,6.445,6.631,6.850,6.845,6.839,6.565,6.992,6.918,7.067,7.013,7.080,7.152,7.134,7.141
"Jan 02, 2020",4.970,5.200,5.534,5.758,6.269,6.361,6.339,6.514,6.777,6.766,6.748,6.510,6.867,6.864,6.964,6.930,6.993,7.004,7.112,7.096
"Jan 01, 2020",5.040,5.200,5.545,5.781,6.305,6.399,6.423,6.549,6.804,6.786,6.713,6.502,6.863,6.855,6.964,6.900,6.980,6.999,7.131,7.089
